Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,FEStatus
Public Class,2,1,2,1,15,0,12,3,1,10,0,0,0,3,2,3,3,0,0,1,2,64,6,40,10,27,18,21,27,10,17,4,3,4,1,1,2,16,0.45,6,5,6,3,HIGH
Public Class,3,3,3,1,22,0,20,1,1,11,0,0,0,6,8,6,13,0,1,0,5,149,9,129,27,74,11,54,76,26,50,7,7,7,1,2,2,37,0.09,21,21,21,6,HIGH
Public Generic Class,2,2,3,1,19,0,14,4,4,4,0,0,3,16,12,16,16,1,3,4,8,509,45,305,80,193,168,128,191,69,122,12,12,12,7,1,3,82,0.55,47,47,48,24,HIGH
Public Abstract Class,2,2,2,1,12,1,9,2,1,21,2,0,4,11,7,11,11,0,0,0,11,160,25,83,28,49,52,48,65,29,36,5,4,6,1,1,3,81,0.63,15,14,19,7,HIGH
Class,3,2,3,2,9,0,9,0,1,3,0,0,0,10,2,10,10,0,1,0,9,196,25,171,37,127,0,86,119,37,82,9,5,10,8,2,2,90,0,35,23,37,24,HIGH
Public Abstract Class,2,2,3,1,19,2,11,7,3,34,4,9,8,71,9,80,103,1,15,19,45,1836,292,932,325,651,716,615,856,321,535,11,11,14,8,3,6,94,0.77,214,214,263,146,HIGH
Public Class,17,17,23,3,72,7,63,2,1,14,0,5,2,3,7,8,38,0,4,0,4,2685,354,2284,410,1748,62,1215,1661,431,1230,98,98,135,9,3,9,90,0.03,140,140,185,24,HIGH
Public Class,2,2,2,1,15,3,10,2,2,60,0,4,0,113,61,117,117,29,8,0,80,2076,488,1284,283,815,304,610,865,273,592,35,18,37,32,1,4,96,0.24,300,256,313,190,HIGH
Public Class,1,1,1,1,16,0,8,7,1,13,0,1,0,4,2,5,30,0,0,0,5,120,10,48,14,27,62,20,30,13,17,5,5,5,5,2,1,19,1.29,9,9,9,9,HIGH
Public Class,1,1,1,1,7,0,7,0,2,20,0,0,6,32,6,32,32,0,0,0,32,323,36,270,109,202,17,194,228,97,131,2,2,2,1,1,1,84,0.06,33,33,33,32,HIGH
Public Class,3,3,3,1,47,5,30,12,1,11,1,0,2,9,0,9,13,0,0,0,9,457,71,275,78,217,116,172,208,64,144,6,6,6,3,2,5,55,0.42,35,35,35,13,HIGH
Public Class,5,5,5,1,30,0,28,1,1,1,0,0,0,2,0,2,2,0,1,1,0,64,2,59,20,43,3,37,48,21,27,5,5,5,1,2,2,0,0.05,10,10,10,2,HIGH
Public Class,1,1,1,1,6,0,6,0,3,12,0,1,0,29,6,30,30,3,4,0,23,292,48,232,79,129,13,128,182,87,95,4,4,4,3,1,2,85,0.06,47,47,47,32,HIGH
Public Class,2,2,2,1,15,1,14,0,1,7,0,0,0,4,0,4,4,0,0,0,4,74,8,59,10,26,7,19,28,11,17,8,8,8,1,1,4,0,0.12,11,11,11,4,HIGH
Public Class,4,4,4,1,36,4,26,6,1,17,0,2,26,11,5,13,13,0,7,0,6,537,77,374,132,308,86,275,325,141,184,10,10,10,1,1,5,91,0.23,52,52,53,13,HIGH
Public Class,3,3,5,1,16,0,15,0,1,6,0,0,0,3,0,3,38,0,0,0,3,63,5,49,12,32,9,23,35,12,23,9,9,13,1,4,4,0,0.18,11,11,15,3,HIGH
Public Class,1,1,2,1,10,0,6,2,1,31,0,30,2,19,6,49,49,0,5,0,44,560,66,351,132,228,143,170,271,126,145,9,9,11,9,1,4,94,0.41,97,97,104,75,HIGH
Public Class,7,2,7,4,30,2,18,10,1,7,0,3,74,9,4,12,12,1,1,4,6,490,40,321,112,259,140,148,176,93,83,43,8,44,28,1,3,96,0.44,93,31,95,49,HIGH
Public Class,20,20,31,6,115,6,102,7,1,17,0,1,10,11,5,12,12,0,10,0,2,1516,109,1312,201,919,98,749,982,230,752,66,66,98,16,1,5,81,0.07,250,250,375,75,HIGH
Public Class,3,2,3,2,13,0,12,0,1,9,0,0,0,10,3,10,24,0,2,0,8,155,22,133,22,94,0,66,93,24,69,12,5,12,9,3,4,63,0,31,24,35,22,HIGH
Public Class,3,2,3,2,13,0,12,0,1,9,0,0,0,10,3,10,24,0,2,0,8,155,22,133,22,94,0,66,93,24,69,12,5,12,9,3,4,63,0,31,24,35,22,HIGH
Public Class,6,6,6,1,22,1,19,2,1,20,0,0,0,15,7,15,15,1,11,0,3,379,39,296,65,205,51,156,246,78,168,36,36,36,1,1,3,72,0.17,96,96,96,15,HIGH
Public Class,2,2,2,1,9,0,7,2,3,20,0,0,9,145,61,145,145,0,3,0,142,1596,153,1117,256,737,328,574,887,267,620,20,17,28,15,1,4,97,0.29,324,321,371,228,HIGH
Public Class,10,8,11,1,29,0,23,7,2,8,0,1,7,7,2,8,8,0,2,0,6,299,18,229,50,182,86,93,158,26,132,26,17,31,3,1,2,79,0.38,80,64,88,12,HIGH
Public Class,9,9,11,3,57,2,42,12,1,24,0,3,5,21,5,24,24,0,18,0,6,1461,100,1043,265,819,326,579,826,266,560,32,32,38,21,1,6,87,0.31,239,232,284,80,HIGH
Public Class,2,2,2,1,22,0,20,2,3,26,0,0,33,18,38,18,18,0,9,0,9,618,101,471,156,345,46,293,336,146,190,5,5,5,4,2,2,88,0.1,39,39,39,26,HIGH
Public Class,3,3,3,1,27,5,17,5,1,16,0,0,0,2,1,2,18,0,0,0,2,61,12,36,13,26,13,19,26,12,14,5,5,6,1,2,3,50,0.36,6,6,7,2,HIGH
Public Class,4,4,4,1,20,0,15,4,1,11,0,0,8,9,4,9,9,0,0,0,9,240,18,154,33,106,69,89,132,36,96,17,17,18,4,1,3,84,0.45,41,41,42,15,HIGH
Public Class,2,2,2,1,20,3,12,5,1,24,0,0,0,3,0,3,8,0,0,2,1,83,13,46,27,25,24,21,28,16,12,5,5,6,3,2,2,0,0.52,7,7,8,5,HIGH
Public Class,2,2,2,1,13,0,6,5,2,12,1,4,3,46,21,50,77,0,4,0,46,812,104,358,94,207,350,155,256,89,167,12,12,12,7,2,4,95,0.98,102,102,111,76,HIGH
Public Class,2,2,2,1,13,0,11,1,1,21,0,1,0,32,5,33,105,1,0,0,32,757,120,567,128,331,70,335,447,156,291,19,19,19,5,3,4,70,0.12,76,76,78,44,HIGH
Class,1,1,1,1,30,3,24,1,1,8,0,0,0,7,1,7,16,1,0,4,2,232,33,177,23,136,23,83,113,35,78,4,4,4,1,3,1,14,0.13,11,11,11,7,HIGH
Public Class,2,2,3,1,16,0,16,0,1,20,3,0,0,12,1,12,23,0,2,8,2,227,14,199,53,149,14,134,170,46,124,10,10,11,1,4,4,91,0.07,35,35,36,12,HIGH
Public Abstract Class,4,3,4,1,34,3,21,9,1,16,3,0,1,13,5,13,13,0,7,1,5,429,53,247,73,167,129,134,171,69,102,15,10,16,3,1,6,77,0.52,45,37,47,13,HIGH
