Results	Entity	Line	Column	CheckID	Check Name
                Fixed Value(0) used incorrectly	c	484	20	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	length	487	30	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	count	492	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	MaskJavaTabLiteralsFilter.JAVA	499	40	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	MaskJavaTabLiteralsFilter.IN_CHAR_CONST	501	49	JAVA_01	Magic Numbers - Java
                Fixed Value(3) used incorrectly	MaskJavaTabLiteralsFilter.IN_STR_CONST	503	48	JAVA_01	Magic Numbers - Java
                Fixed Value(4) used incorrectly	MaskJavaTabLiteralsFilter.IN_SINGLE_COMMENT	505	53	JAVA_01	Magic Numbers - Java
                Fixed Value(5) used incorrectly	MaskJavaTabLiteralsFilter.IN_MULTI_COMMENT	507	52	JAVA_01	Magic Numbers - Java
                Fixed Value(6) used incorrectly	MaskJavaTabLiteralsFilter.TRANS_TO_COMMENT	509	52	JAVA_01	Magic Numbers - Java
                Fixed Value(8) used incorrectly	MaskJavaTabLiteralsFilter.TRANS_FROM_MULTI	511	52	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	NormalizeEolFilter.normalizedEOL	626	36	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	NormalizeEolFilter.normalizedEOL	639	33	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	c	645	30	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	numEOL	648	37	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly		655	22	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	numEOL	658	33	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	numEOL	663	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	numEOL	666	29	JAVA_01	Magic Numbers - Java
                Fixed Value(2) used incorrectly	numEOL	675	33	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	numEOL	688	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	AddEofFilter.lastChar	706	32	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	thisChar	716	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	RemoveEofFilter.lookAhead	729	33	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	RemoveEofFilter.lookAhead	737	29	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	lookAhead2	745	31	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	AddTabFilter.columnNumber	756	35	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	AddTabFilter.tabLength	758	32	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	AddTabFilter.columnNumber	771	31	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	AddTabFilter.tabLength	776	66	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	countSpaces	777	38	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	numTabs	778	34	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	SimpleFilterReader.read	780	66	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	countSpaces	785	46	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	countSpaces	794	42	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	countSpaces	802	43	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	numTabs	806	39	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	AddTabFilter.tabLength	824	60	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	RemoveTabFilter.columnNumber	834	35	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	RemoveTabFilter.tabLength	836	32	JAVA_01	Magic Numbers - Java
                Fixed Value(0) used incorrectly	RemoveTabFilter.columnNumber	850	31	JAVA_01	Magic Numbers - Java
                Fixed Value(1) used incorrectly	width	856	35	JAVA_01	Magic Numbers - Java
                Exit point not at end of method	AddAsisRemove.getValues	881	24	JAVA_03	Single exit point at end
